my_title,Run,my_stage,Organism,projType,treat,treatDescription,special,geneCounted,rawCounts
A_moya_acid_PRJNA149513,SRR401853,recruit,Acropora millepora,pH,control,Control 1,none,7343169,28328761
A_moya_acid_PRJNA149513,SRR401854,recruit,Acropora millepora,pH,control,Control 2,none,7917594,28571952
A_moya_acid_PRJNA149513,SRR401855,recruit,Acropora millepora,pH,control,Control 3,none,8522023,27641029
A_moya_acid_PRJNA149513,SRR401856,recruit,Acropora millepora,pH,low_pH,750 ppm 1,none,7677487,28807288
A_moya_acid_PRJNA149513,SRR401857,recruit,Acropora millepora,pH,low_pH,750 ppm 2,none,8442056,27735360
A_moya_acid_PRJNA149513,SRR401858,recruit,Acropora millepora,pH,low_pH,750 ppm 3,none,8132771,28899079
A_moya_acid_PRJNA149513,SRR401859,recruit,Acropora millepora,pH,low_pH,1000 ppm 1,none,7379928,29115000
A_moya_acid_PRJNA149513,SRR401860,recruit,Acropora millepora,pH,low_pH,1000 ppm 2,none,8273464,28412758
A_moya_acid_PRJNA149513,SRR401861,recruit,Acropora millepora,pH,low_pH,1000 ppm 3,none,8129844,30042580
F_Uqueensland_ph_PRJNA269992,SRR1703716,adult,Acropora millepora,pH,control,preindusctrial,none,11624569,39559337
F_Uqueensland_ph_PRJNA269992,SRR1703717,adult,Acropora millepora,pH,control,present day,none,9144131,33736675
F_Uqueensland_ph_PRJNA269992,SRR1706955,adult,Acropora millepora,pH,low_pH,RCP4.5,none,15865254,61610173
F_Uqueensland_ph_PRJNA269992,SRR1703718,adult,Acropora millepora,pH,low_pH,RCP8.5,none,10192384,34500222
M_moya_juvenilePh_PRJNA260269,SRR1566164,recruit,Acropora millepora,pH,control,380 ppm CO2,none,5249447,12269208
M_moya_juvenilePh_PRJNA260269,SRR1566165,recruit,Acropora millepora,pH,control,380 ppm CO2,none,5595785,12534784
M_moya_juvenilePh_PRJNA260269,SRR1566166,recruit,Acropora millepora,pH,control,380 ppm CO2,none,5537109,12898069
M_moya_juvenilePh_PRJNA260269,SRR1566168,recruit,Acropora millepora,pH,low_pH,750 ppm CO2,none,5628308,12631481
M_moya_juvenilePh_PRJNA260269,SRR1566167,recruit,Acropora millepora,pH,low_pH,750 ppm CO2,none,5431536,12501088
M_moya_juvenilePh_PRJNA260269,SRR1566169,recruit,Acropora millepora,pH,low_pH,750 ppm CO2,none,4817192,12467897
V_kenkel_co2seep_PRJNA362652,SRR5190737,adult,Acropora millepora,pH_resilience,control,Upa-Upasina_control_9,none,999849,6853451
V_kenkel_co2seep_PRJNA362652,SRR5190738,adult,Acropora millepora,pH_resilience,control,Upa-Upasina_control_8,none,1138985,9139400
V_kenkel_co2seep_PRJNA362652,SRR5190739,adult,Acropora millepora,pH_resilience,control,Upa-Upasina_control_7,none,745546,4444051
V_kenkel_co2seep_PRJNA362652,SRR5190740,adult,Acropora millepora,pH_resilience,control,Upa-Upasina_control_6,none,642576,4280645
V_kenkel_co2seep_PRJNA362652,SRR5190741,adult,Acropora millepora,pH_resilience,control,Upa-Upasina_control_5,none,843274,7351955
V_kenkel_co2seep_PRJNA362652,SRR5190742,adult,Acropora millepora,pH_resilience,control,Upa-Upasina_control_4,none,671610,4635358
V_kenkel_co2seep_PRJNA362652,SRR5190743,adult,Acropora millepora,pH_resilience,control,Upa-Upasina_control_3,none,705908,4608835
