my_title,Run,my_stage,Organism,projType,treat,treatDescription,special,geneCounted,rawCounts,stress,proj_stress
A_moya_acid_PRJNA149513,SRR401855,recruit,Acropora millepora,pH,control,Control 3,none,8522023,27641029,control,A_moya_acid_PRJNA149513_control
A_moya_acid_PRJNA149513,SRR401856,recruit,Acropora millepora,pH,low_pH,750 ppm 1,none,7677487,28807288,stressed,A_moya_acid_PRJNA149513_stressed
A_moya_acid_PRJNA149513,SRR401858,recruit,Acropora millepora,pH,low_pH,750 ppm 3,none,8132771,28899079,stressed,A_moya_acid_PRJNA149513_stressed
A_moya_acid_PRJNA149513,SRR401859,recruit,Acropora millepora,pH,low_pH,1000 ppm 1,none,7379928,29115000,stressed,A_moya_acid_PRJNA149513_stressed
A_moya_acid_PRJNA149513,SRR401861,recruit,Acropora millepora,pH,low_pH,1000 ppm 3,none,8129844,30042580,stressed,A_moya_acid_PRJNA149513_stressed
B_whiteBand_PRJNA222758,SRR1015321,adult,Acropora cervicornis,immune,control,healthy,none,2216393,7602534,control,B_whiteBand_PRJNA222758_control
B_whiteBand_PRJNA222758,SRR1015323,adult,Acropora cervicornis,immune,control,healthy,none,2535791,7599200,control,B_whiteBand_PRJNA222758_control
B_whiteBand_PRJNA222758,SRR1015327,adult,Acropora cervicornis,immune,control,healthy,none,4605456,15276530,control,B_whiteBand_PRJNA222758_control
B_whiteBand_PRJNA222758,SRR1015331,adult,Acropora cervicornis,immune,challenge,white band,none,3720503,9959364,stressed,B_whiteBand_PRJNA222758_stressed
B_whiteBand_PRJNA222758,SRR1015344,adult,Acropora cervicornis,immune,challenge,white band,none,812616,7753708,stressed,B_whiteBand_PRJNA222758_stressed
E_aspera_PRJNA266455,SRR1653615,adult,Acropora aspera,temp,control,ambient 24 hrs,none,2097660,4446938,control,E_aspera_PRJNA266455_control
E_aspera_PRJNA266455,SRR1654664,adult,Acropora aspera,temp,control,ambient 72 hrs,none,4195585,11599658,control,E_aspera_PRJNA266455_control
E_aspera_PRJNA266455,SRR1653608,adult,Acropora aspera,temp,heat,6DegreeOverAmbient 72 hrs,none,3330560,24416729,stressed,E_aspera_PRJNA266455_stressed
F_Uqueensland_ph_PRJNA269992,SRR1703716,adult,Acropora millepora,pH,control,preindusctrial,none,11624569,39559337,control,F_Uqueensland_ph_PRJNA269992_control
